Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'2000','Colorado','Liver and Intrahepatic Bile Duct','4.5','3.8','5.2','164','4326921'
'2000','Arkansas','Liver and Intrahepatic Bile Duct','null','null','null','Data Suppressed','null'
'2000','Alabama','Liver and Intrahepatic Bile Duct','4.5','3.9','5.1','205','4452173'
'2000','Arizona','Liver and Intrahepatic Bile Duct','4.7','4.1','5.3','239','5160586'
'2000','Massachusetts','Liver and Intrahepatic Bile Duct','5.3','4.8','5.9','353','6361104'
'2000','Michigan','Liver and Intrahepatic Bile Duct','5.2','4.7','5.6','508','9952450'
'2000','Maryland','Liver and Intrahepatic Bile Duct','5.2','4.5','5.8','261','5311034'
'2000','Iowa','Liver and Intrahepatic Bile Duct','3.4','2.8','4.1','113','2929067'
'2000','Kentucky','Liver and Intrahepatic Bile Duct','4','3.4','4.7','163','4049021'
'2000','Indiana','Liver and Intrahepatic Bile Duct','3.9','3.4','4.5','236','6091866'
'2000','Illinois','Liver and Intrahepatic Bile Duct','5.4','5','5.8','647','12434161'
'2000','Wyoming','Liver and Intrahepatic Bile Duct','5.4','3.5','7.9','26','494300'
'2000','Wisconsin','Liver and Intrahepatic Bile Duct','4.8','4.2','5.4','262','5373999'
'2000','West Virginia','Liver and Intrahepatic Bile Duct','3.9','3.1','4.8','83','1807021'
'2000','Washington','Liver and Intrahepatic Bile Duct','5.5','4.9','6.1','304','5910512'
'2000','Vermont','Liver and Intrahepatic Bile Duct','3.5','2.2','5.3','22','609618'
'2000','Virginia','Liver and Intrahepatic Bile Duct','3.5','3','3.9','232','7105817'
'2000','Utah','Liver and Intrahepatic Bile Duct','3.2','2.4','4.2','53','2244502'
'2000','Tennessee','Liver and Intrahepatic Bile Duct','3.4','2.9','3.9','195','5703719'
'2000','South Dakota','Liver and Intrahepatic Bile Duct','null','null','null','Data Suppressed','null'
'2000','Rhode Island','Liver and Intrahepatic Bile Duct','6.1','4.7','7.7','69','1050268'
'2000','South Carolina','Liver and Intrahepatic Bile Duct','4.4','3.8','5.1','175','4024223'
'2000','Pennsylvania','Liver and Intrahepatic Bile Duct','5.2','4.8','5.6','733','12284173'
'2000','Ohio','Liver and Intrahepatic Bile Duct','4.1','3.8','4.5','490','11363543'
