Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'2000','South Carolina','Lung and Bronchus','75','72.3','77.7','3000','4024223'
'2000','Rhode Island','Lung and Bronchus','80.7','75.5','86.1','924','1050268'
'2000','South Dakota','Lung and Bronchus','null','null','null','Data Suppressed','null'
'2000','Texas','Lung and Bronchus','69.9','68.7','71.2','11985','20944499'
'2000','Tennessee','Lung and Bronchus','69.3','67.2','71.5','3991','5703719'
'2000','Washington','Lung and Bronchus','71.3','69.1','73.6','3873','5910512'
'2000','West Virginia','Lung and Bronchus','92.9','88.8','97','2001','1807021'
'2000','Illinois','Lung and Bronchus','72.3','70.8','73.8','8619','12434161'
'2000','Indiana','Lung and Bronchus','79.1','76.9','81.4','4756','6091866'
'2000','Kentucky','Lung and Bronchus','101.5','98.5','104.7','4157','4049021'
'2000','Iowa','Lung and Bronchus','68.3','65.5','71.2','2234','2929067'
'2000','Maryland','Lung and Bronchus','71.6','69.3','74','3581','5311034'
'2000','Maine','Lung and Bronchus','81.6','77','86.5','1175','1277072'
'2000','Louisiana','Lung and Bronchus','82','79.3','84.8','3434','4471885'
'2000','Michigan','Lung and Bronchus','74.9','73.2','76.7','7335','9952450'
'2000','Massachusetts','Lung and Bronchus','71.8','69.7','73.8','4780','6361104'
'2000','Alaska','Lung and Bronchus','72.1','62.9','82.1','260','627963'
'2000','Alabama','Lung and Bronchus','74.4','71.9','76.9','3440','4452173'
'2000','Arkansas','Lung and Bronchus','null','null','null','Data Suppressed','null'
'2000','Delaware','Lung and Bronchus','77.5','71.5','83.8','629','786373'
'2000','Florida','Lung and Bronchus','78','76.8','79.3','16025','16047515'
'2000','Georgia','Lung and Bronchus','78','75.9','80.1','5281','8227303'
'2000','Colorado','Lung and Bronchus','53.6','51.2','56.1','1886','4326921'
'2000','Nebraska','Lung and Bronchus','62.4','58.8','66.2','1104','1713820'
'2000','New York','Lung and Bronchus','67.4','66.2','68.5','13054','19001780'
'2000','Virginia','Lung and Bronchus','63','61.1','65','4191','7105817'
'2000','Vermont','Lung and Bronchus','65.5','59.3','72.2','411','609618'
'2000','Wisconsin','Lung and Bronchus','63.3','61.2','65.4','3464','5373999'
'2000','Idaho','Lung and Bronchus','62.9','58.5','67.6','743','1299430'
'2000','Kansas','Lung and Bronchus','64.8','61.8','68','1763','2693681'
'2001','Utah','Lung and Bronchus','31.7','29','34.5','508','2283715'
'2001','New Mexico','Lung and Bronchus','46.8','43.6','50.1','824','1831690'
'2001','Wyoming','Lung and Bronchus','50.5','44.3','57.2','245','494657'
